Winner,Loser,Score,Rounds,Runtime
AlternateCorner,DiagonalSym,9,69,13
HorizontalSym,DiagonalSym,2,84,50
Mob,Corner,4,70,14
Headshot,Straight,56,35,83
RMCQueenAI,Corner,39,28,23275
Headshot,Assasin,3,76,80
AlternateCorner,Mob,13,57,47
RMCQueenAI,Assasin,31,29,42036
Headshot,DiagonalSym,24,60,124
Straight,DiagonalSym,3,71,17
DiagonalSym,AlternateCorner,2,73,44
Headshot,Straight,24,47,53
Assasin,Random,61,37,15
Straight,Corner,1,76,50
Headshot,Straight,23,52,62
AlternateCorner,Random,11,67,15
Headshot,DiagonalSym,20,60,26
Headshot,AlternateCorner,16,57,50
Assasin,Random,54,37,67
HorizontalSym,Random,13,58,12
Headshot,UpClose,0,87,44
RMCQueenAI,Random,13,44,26110
AlternateCorner,DiagonalSym,9,69,13
Straight,DiagonalSym,3,68,15
AlternateCorner,Straight,0,83,17
VerticalSym,DiagonalSym,7,63,30
UpClose,Random,8,69,50
Straight,AlternateCorner,5,73,16
UpClose,Straight,23,34,8
Assasin,Corner,71,26,58
Straight,HorizontalSym,4,68,16
VerticalSym,UpClose,3,72,10
HorizontalSym,VerticalSym,4,67,64
RMCQueenAI,DiagonalSym,19,40,29566
Mob,VerticalSym,6,51,23
Headshot,Corner,39,29,12
AlternateCorner,VerticalSym,13,59,13
VerticalSym,Corner,10,52,10
Assasin,UpClose,23,55,11
AlternateCorner,Random,3,75,58
Corner,Random,11,58,12
Straight,UpClose,11,58,25
Random,AlternateCorner,3,77,69
VerticalSym,AlternateCorner,9,69,44
Assasin,Mob,13,32,9
RMCQueenAI,Random,37,31,32168
RMCQueenAI,Mob,47,29,30642
VerticalSym,DiagonalSym,1,79,14
Assasin,VerticalSym,34,43,75
RMCQueenAI,VerticalSym,15,48,19828
RMCQueenAI,HorizontalSym,20,40,33534
Assasin,Mob,36,32,43
HorizontalSym,AlternateCorner,1,84,49
Assasin,UpClose,18,53,53
Headshot,Corner,45,30,9
RMCQueenAI,Assasin,22,36,27284
VerticalSym,DiagonalSym,0,62,12
